domain,algorithm,model,token_id,token,count,source_file
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2351,'re,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,596,'s,16,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,3077,'ve,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,28328,",f",1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,7561,-a,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,98551,-aligned,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,9976,-and,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,1481,-b,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,6108,-based,7,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,49236,-cal,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,21911,-cent,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,6953,-de,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,69956,-designed,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,30659,-do,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,73894,-domain,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,32505,-driven,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,50725,-engine,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,91345,-ev,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,18882,-exp,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2269,-f,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,24325,-fold,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,12862,-free,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,43927,-generation,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,20521,-go,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,93388,-goal,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,14258,-input,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,12934,-k,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,22015,-known,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2922,-l,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,31412,-law,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,11852,-level,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,12970,-like,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,92636,-line,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,62399,-linear,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,1474,-m,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,34423,-minded,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,41078,-ne,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,8838,-of,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2320,-p,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,69788,-positive,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,76697,-ranked,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5621,-re,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,1355,-s,3,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,13230,-scale,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,57432,-series,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,99246,-solving,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,93348,-special,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,19440,-specific,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,30699,-speed,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5594,-st,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,11549,-style,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,53679,-task,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,9529,-text,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,10826,-the,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,10398,-tr,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,70024,-trained,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,86470,-training,2,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,10827,-type,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,72207,-under,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,69621,-used,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,99156,-ver,1,rewritten_ai_EXP_meta-llama__Llama-3.1-8B-Instruct_wm_token_freq.json
