domain,algorithm,model,count,num_tokens
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,1,1552
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,2,468
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,3,254
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,4,157
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,5,96
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,6,64
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,7,37
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,8,31
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,9,24
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,10,16
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,11,18
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,12,16
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,13,12
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,14,7
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,15,4
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,16,5
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,17,5
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,18,4
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,19,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,20,6
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,21,2
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,23,2
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,24,4
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,25,2
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,27,3
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,28,2
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,29,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,30,2
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,31,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,33,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,35,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,37,2
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,40,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,42,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,43,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,50,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,58,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,95,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,1,940
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,2,311
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,3,141
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,4,70
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,5,50
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,6,30
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,7,23
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,8,19
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,9,14
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,10,12
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,11,11
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,12,7
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,13,6
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,14,6
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,15,3
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,16,2
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,17,5
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,18,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,19,7
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,20,4
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,22,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,24,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,26,2
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,27,2
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,33,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,35,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,39,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,53,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,54,1
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,82,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,1,807
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,2,234
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,3,106
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,4,53
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,5,37
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,6,28
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,7,13
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,8,11
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,9,9
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,10,6
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,11,4
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,12,2
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,13,4
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,14,3
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,15,2
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,16,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,17,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,18,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,19,2
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,20,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,21,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,24,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,26,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,30,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,43,1
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,46,1
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,1,962
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,2,292
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,3,109
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,4,73
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,5,35
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,6,32
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,7,14
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,8,12
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,9,13
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,10,7
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,11,8
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,12,6
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,13,5
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,14,1
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,15,5
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,16,2
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,17,3
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,19,2
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,22,2
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,25,1
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,27,1
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,32,1
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,46,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,1,660
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,2,250
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,3,133
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,4,68
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,5,66
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,6,33
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,7,31
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,8,15
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,9,15
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,10,15
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,11,10
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,12,10
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,13,9
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,14,3
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,15,6
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,16,5
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,17,7
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,18,4
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,19,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,20,2
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,21,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,23,3
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,24,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,25,3
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,26,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,27,3
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,28,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,29,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,30,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,31,2
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,32,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,34,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,35,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,36,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,40,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,42,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,46,2
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,47,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,49,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,56,2
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,57,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,70,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,71,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,78,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,81,1
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,109,1
ai,EXP,meta-llama__Llama-3.1-8B-Instruct,TOTAL,2806
ai,KGW,meta-llama__Llama-3.1-8B-Instruct,TOTAL,1674
ai,SWEET,meta-llama__Llama-3.1-8B-Instruct,TOTAL,1331
ai,SynthID,meta-llama__Llama-3.1-8B-Instruct,TOTAL,1587
ai,Unigram,meta-llama__Llama-3.1-8B-Instruct,TOTAL,1378
