domain,algorithm,count,num_tokens
ai,EXP,1,1593
ai,EXP,2,509
ai,EXP,3,233
ai,EXP,4,156
ai,EXP,5,117
ai,EXP,6,74
ai,EXP,7,46
ai,EXP,8,47
ai,EXP,9,23
ai,EXP,10,31
ai,EXP,11,23
ai,EXP,12,16
ai,EXP,13,9
ai,EXP,14,14
ai,EXP,15,11
ai,EXP,16,11
ai,EXP,17,8
ai,EXP,18,8
ai,EXP,19,6
ai,EXP,20,7
ai,EXP,21,1
ai,EXP,22,5
ai,EXP,23,8
ai,EXP,24,2
ai,EXP,25,3
ai,EXP,26,1
ai,EXP,28,3
ai,EXP,30,1
ai,EXP,31,1
ai,EXP,32,2
ai,EXP,33,1
ai,EXP,34,2
ai,EXP,35,2
ai,EXP,36,3
ai,EXP,37,1
ai,EXP,38,1
ai,EXP,40,1
ai,EXP,41,1
ai,EXP,43,2
ai,EXP,48,1
ai,EXP,49,1
ai,EXP,50,1
ai,EXP,53,1
ai,EXP,54,1
ai,EXP,55,1
ai,EXP,56,1
ai,EXP,57,1
ai,EXP,63,3
ai,EXP,67,1
ai,EXP,69,1
ai,EXP,73,1
ai,EXP,76,1
ai,KGW,1,841
ai,KGW,2,299
ai,KGW,3,153
ai,KGW,4,98
ai,KGW,5,44
ai,KGW,6,36
ai,KGW,7,28
ai,KGW,8,22
ai,KGW,9,28
ai,KGW,10,16
ai,KGW,11,7
ai,KGW,12,9
ai,KGW,13,8
ai,KGW,14,6
ai,KGW,15,7
ai,KGW,16,7
ai,KGW,17,3
ai,KGW,18,2
ai,KGW,19,1
ai,KGW,20,4
ai,KGW,21,1
ai,KGW,22,2
ai,KGW,23,6
ai,KGW,24,2
ai,KGW,25,2
ai,KGW,26,1
ai,KGW,28,1
ai,KGW,32,4
ai,KGW,34,1
ai,KGW,39,1
ai,KGW,41,2
ai,KGW,42,2
ai,KGW,44,1
ai,KGW,46,3
ai,KGW,48,2
ai,KGW,52,1
ai,KGW,63,1
ai,KGW,71,1
ai,KGW,79,1
ai,KGW,83,1
ai,KGW,89,1
ai,KGW,92,1
ai,KGW,115,1
ai,KGW,126,1
ai,KGW,133,1
ai,KGW,209,1
ai,SWEET,1,829
ai,SWEET,2,235
ai,SWEET,3,134
ai,SWEET,4,57
ai,SWEET,5,41
ai,SWEET,6,25
ai,SWEET,7,21
ai,SWEET,8,15
ai,SWEET,9,11
ai,SWEET,10,4
ai,SWEET,11,10
ai,SWEET,12,9
ai,SWEET,13,1
ai,SWEET,14,8
ai,SWEET,15,4
ai,SWEET,16,2
ai,SWEET,17,2
ai,SWEET,18,2
ai,SWEET,19,2
ai,SWEET,21,3
ai,SWEET,22,2
ai,SWEET,25,2
ai,SWEET,26,4
ai,SWEET,28,2
ai,SWEET,29,1
ai,SWEET,43,1
ai,SWEET,48,2
ai,SWEET,49,1
ai,SWEET,52,1
ai,SWEET,54,1
ai,SWEET,57,1
ai,SWEET,60,1
ai,SWEET,63,2
ai,SWEET,64,1
ai,SWEET,69,1
ai,SWEET,70,1
ai,SWEET,75,1
ai,SWEET,79,1
ai,SWEET,102,1
ai,SWEET,134,1
ai,SWEET,175,1
ai,SWEET,246,1
ai,SynthID,1,902
ai,SynthID,2,304
ai,SynthID,3,156
ai,SynthID,4,84
ai,SynthID,5,52
ai,SynthID,6,21
ai,SynthID,7,26
ai,SynthID,8,14
ai,SynthID,9,14
ai,SynthID,10,18
ai,SynthID,11,11
ai,SynthID,12,4
ai,SynthID,13,8
ai,SynthID,14,7
ai,SynthID,15,8
ai,SynthID,16,1
ai,SynthID,17,5
ai,SynthID,18,8
ai,SynthID,19,3
ai,SynthID,20,1
ai,SynthID,21,3
ai,SynthID,22,2
ai,SynthID,24,4
ai,SynthID,26,1
ai,SynthID,27,1
ai,SynthID,29,1
ai,SynthID,30,1
ai,SynthID,32,1
ai,SynthID,33,2
ai,SynthID,35,5
ai,SynthID,37,1
ai,SynthID,38,1
ai,SynthID,40,1
ai,SynthID,47,1
ai,SynthID,49,1
ai,SynthID,52,1
ai,SynthID,54,1
ai,SynthID,57,1
ai,SynthID,58,1
ai,SynthID,59,1
ai,SynthID,63,1
ai,SynthID,65,1
ai,SynthID,66,1
ai,Unigram,1,617
ai,Unigram,2,211
ai,Unigram,3,115
ai,Unigram,4,85
ai,Unigram,5,50
ai,Unigram,6,44
ai,Unigram,7,22
ai,Unigram,8,21
ai,Unigram,9,25
ai,Unigram,10,12
ai,Unigram,11,8
ai,Unigram,12,10
ai,Unigram,13,8
ai,Unigram,14,7
ai,Unigram,15,8
ai,Unigram,16,6
ai,Unigram,17,9
ai,Unigram,18,3
ai,Unigram,19,2
ai,Unigram,20,4
ai,Unigram,21,5
ai,Unigram,22,1
ai,Unigram,23,2
ai,Unigram,24,1
ai,Unigram,26,2
ai,Unigram,27,4
ai,Unigram,28,2
ai,Unigram,29,2
ai,Unigram,31,2
ai,Unigram,32,3
ai,Unigram,34,3
ai,Unigram,37,3
ai,Unigram,38,1
ai,Unigram,40,1
ai,Unigram,41,4
ai,Unigram,42,1
ai,Unigram,44,1
ai,Unigram,47,2
ai,Unigram,50,2
ai,Unigram,51,1
ai,Unigram,62,1
ai,Unigram,68,1
ai,Unigram,71,1
ai,Unigram,73,1
ai,Unigram,76,1
ai,Unigram,88,1
ai,Unigram,95,1
ai,Unigram,101,1
ai,Unigram,105,1
ai,Unigram,109,1
ai,Unigram,139,1
bio,EXP,1,1490
bio,EXP,2,467
bio,EXP,3,249
bio,EXP,4,140
bio,EXP,5,93
bio,EXP,6,55
bio,EXP,7,62
bio,EXP,8,35
bio,EXP,9,31
bio,EXP,10,30
bio,EXP,11,22
bio,EXP,12,14
bio,EXP,13,19
bio,EXP,14,14
bio,EXP,15,10
bio,EXP,16,5
bio,EXP,17,10
bio,EXP,18,11
bio,EXP,19,2
bio,EXP,20,7
bio,EXP,21,4
bio,EXP,22,8
bio,EXP,23,1
bio,EXP,24,10
bio,EXP,25,6
bio,EXP,26,2
bio,EXP,27,2
bio,EXP,29,1
bio,EXP,30,2
bio,EXP,31,3
bio,EXP,33,7
bio,EXP,35,1
bio,EXP,36,1
bio,EXP,38,1
bio,EXP,42,1
bio,EXP,43,1
bio,EXP,44,1
bio,EXP,46,3
bio,EXP,47,2
bio,EXP,48,1
bio,EXP,49,1
bio,EXP,51,1
bio,EXP,54,2
bio,EXP,58,1
bio,EXP,59,1
bio,EXP,63,2
bio,EXP,66,1
bio,EXP,68,1
bio,EXP,70,2
bio,EXP,84,1
bio,KGW,1,754
bio,KGW,2,246
bio,KGW,3,127
bio,KGW,4,95
bio,KGW,5,60
bio,KGW,6,35
bio,KGW,7,27
bio,KGW,8,20
bio,KGW,9,17
bio,KGW,10,13
bio,KGW,11,11
bio,KGW,12,10
bio,KGW,13,4
bio,KGW,14,4
bio,KGW,15,2
bio,KGW,16,7
bio,KGW,17,6
bio,KGW,18,6
bio,KGW,19,1
bio,KGW,20,2
bio,KGW,21,1
bio,KGW,22,2
bio,KGW,23,2
bio,KGW,24,3
bio,KGW,25,4
bio,KGW,26,2
bio,KGW,27,2
bio,KGW,28,4
bio,KGW,29,2
bio,KGW,30,1
bio,KGW,32,1
bio,KGW,33,1
bio,KGW,38,2
bio,KGW,39,1
bio,KGW,45,1
bio,KGW,47,1
bio,KGW,49,1
bio,KGW,51,4
bio,KGW,54,1
bio,KGW,64,2
bio,KGW,66,1
bio,KGW,72,2
bio,KGW,77,1
bio,KGW,87,1
bio,KGW,91,1
bio,KGW,119,1
bio,KGW,132,1
bio,KGW,158,1
bio,KGW,193,1
bio,KGW,216,1
bio,SWEET,1,647
bio,SWEET,2,221
bio,SWEET,3,106
bio,SWEET,4,55
bio,SWEET,5,37
bio,SWEET,6,26
bio,SWEET,7,18
bio,SWEET,8,21
bio,SWEET,9,12
bio,SWEET,10,9
bio,SWEET,11,6
bio,SWEET,12,7
bio,SWEET,13,6
bio,SWEET,14,8
bio,SWEET,15,3
bio,SWEET,16,3
bio,SWEET,17,1
bio,SWEET,18,2
bio,SWEET,19,5
bio,SWEET,20,2
bio,SWEET,21,1
bio,SWEET,22,2
bio,SWEET,23,2
bio,SWEET,24,3
bio,SWEET,25,4
bio,SWEET,26,1
bio,SWEET,27,1
bio,SWEET,28,2
bio,SWEET,29,1
bio,SWEET,30,1
bio,SWEET,32,1
bio,SWEET,35,2
bio,SWEET,36,1
bio,SWEET,45,1
bio,SWEET,48,1
bio,SWEET,54,1
bio,SWEET,61,1
bio,SWEET,64,3
bio,SWEET,69,1
bio,SWEET,80,1
bio,SWEET,85,1
bio,SWEET,88,2
bio,SWEET,95,1
bio,SWEET,131,1
bio,SWEET,168,1
bio,SWEET,260,1
bio,SynthID,1,832
bio,SynthID,2,270
bio,SynthID,3,131
bio,SynthID,4,67
bio,SynthID,5,53
bio,SynthID,6,41
bio,SynthID,7,29
bio,SynthID,8,31
bio,SynthID,9,17
bio,SynthID,10,18
bio,SynthID,11,16
bio,SynthID,12,9
bio,SynthID,13,11
bio,SynthID,14,6
