domain,algorithm,total_tokens,count_eq_1,count_eq_2,count_ge_3,ratio_eq_1
ai,EXP,2998,1593,509,896,0.5313542361574383
ai,KGW,1661,841,299,521,0.50632149307646
ai,SWEET,1445,829,235,381,0.5737024221453287
ai,SynthID,1681,902,304,475,0.5365853658536586
ai,Unigram,1321,617,211,493,0.46707040121120363
bio,EXP,2837,1490,467,880,0.5252026788861474
bio,KGW,1496,754,246,496,0.5040106951871658
bio,SWEET,1233,647,221,365,0.5247364152473641
bio,SynthID,1594,832,270,492,0.5219573400250941
bio,Unigram,1216,539,223,454,0.4432565789473684
med,EXP,3198,1734,559,905,0.5422138836772983
med,KGW,1623,882,254,487,0.5434380776340111
med,SWEET,1370,768,231,371,0.5605839416058395
med,SynthID,1673,897,306,470,0.5361625821876868
med,Unigram,1323,644,208,471,0.48677248677248675
mis,EXP,3629,2014,642,973,0.5549738219895288
mis,KGW,1524,847,243,434,0.5557742782152231
mis,SWEET,1292,773,220,299,0.598297213622291
mis,SynthID,1624,922,262,440,0.5677339901477833
mis,Unigram,1244,594,230,420,0.477491961414791
security,EXP,3310,1734,609,967,0.5238670694864048
security,KGW,1769,930,338,501,0.5257207461842849
security,SWEET,1545,901,272,372,0.5831715210355987
security,SynthID,1815,990,322,503,0.5454545454545454
security,Unigram,1437,668,265,504,0.464857341684064
