domain,algorithm,top20_coverage,top50_coverage,top100_coverage,top200_coverage
ai,EXP,0.1112008887991112,0.19785880214119786,0.28885971114028886,0.40733259266740734
ai,KGW,0.23679274773366676,0.3538605814316974,0.45764301344170055,0.583307283526102
ai,SWEET,0.3079922027290448,0.42241715399610136,0.5214424951267057,0.6317738791423002
ai,SynthID,0.1719272187151875,0.29001113999257333,0.4058670627552915,0.5378759747493501
ai,Unigram,0.22371364653243847,0.37040588047299455,0.5004793863854267,0.6433365292425696
bio,EXP,0.11367512792214307,0.2050767532858433,0.30580917026186416,0.43122303601886225
bio,KGW,0.2720406905055487,0.4005856966707768,0.5112515413070283,0.6314734895191122
bio,SWEET,0.31203739774055317,0.44273470977795093,0.555901830931048,0.6791975068172964
bio,SynthID,0.1675742139469524,0.2894783066924293,0.4057614614438784,0.5531354294747937
bio,Unigram,0.2489758761948111,0.396601426187225,0.535427097557275,0.685783644363526
med,EXP,0.10611835506519558,0.18956870611835505,0.27673019057171516,0.39117352056168503
med,KGW,0.26917557008451604,0.4007335353213204,0.4999202678998565,0.6123425291022165
med,SWEET,0.3099054665022606,0.43341553637484587,0.5260994656802301,0.6319358816276203
med,SynthID,0.17508923539357504,0.29306781889911704,0.406537666729288,0.5352244974638362
med,Unigram,0.2730429292929293,0.4125631313131313,0.5333017676767676,0.6690340909090909
mis,EXP,0.10759027266028003,0.18828297715549006,0.2727523949889462,0.3813559322033898
mis,KGW,0.261153630763487,0.37726339369049844,0.48086615643083813,0.599402650737353
mis,SWEET,0.33294365209258825,0.44353518821603927,0.5379939209726444,0.646714987140519
mis,SynthID,0.18526356290881107,0.3053097345132743,0.4243939976914198,0.5577145055790689
mis,Unigram,0.26793060275442676,0.4147737435163656,0.532105169021642,0.6639241638347344
security,EXP,0.0979716800612323,0.1821660926138538,0.2676042862610027,0.38088404133180254
security,KGW,0.242732103782432,0.36480150046889653,0.45920600187558613,0.5720537668021257
security,SWEET,0.2999808318957255,0.4159478627563734,0.5106382978723404,0.6143377419973165
security,SynthID,0.16134185303514376,0.2731629392971246,0.3876464323748669,0.5131345402910898
security,Unigram,0.23060211049037865,0.3611111111111111,0.4860335195530726,0.6238361266294227
