setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
full,Unigram,ai,security,ai__security,0.0756,0.1402,0.2597,0.2835,0.0715,0.0797,0.0082
full,EXP,bio,mis,bio__mis,0.0818,0.1584,0.3076,0.3263,0.0943,0.0692,0.0251
nostop,SynthID,ai,med,ai__med,0.1138,0.2202,0.1062,0.1401,0.1099,0.1177,0.0078
nostop,SynthID,ai,security,ai__security,0.1061,0.1999,0.0993,0.1349,0.0962,0.1161,0.0199
full,Unigram,bio,mis,bio__mis,0.0993,0.186,0.2355,0.2657,0.1141,0.0845,0.0296
full,KGW,med,mis,med__mis,0.0708,0.136,0.3256,0.3432,0.0665,0.0751,0.0086
full,SynthID,ai,med,ai__med,0.0674,0.1245,0.3051,0.324,0.0671,0.0676,0.0005
full,KGW,ai,med,ai__med,0.0715,0.1293,0.3337,0.3567,0.0744,0.0686,0.0059
full,Unigram,med,mis,med__mis,0.0695,0.1419,0.2173,0.2365,0.0711,0.0679,0.0032
nostop,KGW,bio,med,bio__med,0.1249,0.2392,0.1202,0.1574,0.1342,0.1157,0.0185
nostop,SynthID,ai,bio,ai__bio,0.1105,0.2037,0.0988,0.1406,0.1015,0.1194,0.0179
full,EXP,bio,med,bio__med,0.0768,0.1419,0.3039,0.3243,0.0855,0.068,0.0175
full,KGW,med,security,med__security,0.0693,0.128,0.3325,0.3528,0.0618,0.0769,0.0151
nostop,KGW,ai,mis,ai__mis,0.1613,0.2989,0.1372,0.1864,0.1687,0.154,0.0147
nostop,SWEET,med,mis,med__mis,0.1126,0.2164,0.1103,0.1436,0.1024,0.1229,0.0205
full,SynthID,mis,security,mis__security,0.0747,0.1416,0.3029,0.3216,0.0716,0.0778,0.0062
full,SWEET,mis,security,mis__security,0.0807,0.1495,0.2439,0.2642,0.0833,0.0781,0.0053
nostop,SynthID,bio,security,bio__security,0.1149,0.2213,0.1147,0.1494,0.1133,0.1165,0.0032
nostop,SWEET,ai,security,ai__security,0.0958,0.1797,0.0913,0.1171,0.0956,0.096,0.0004
full,EXP,ai,mis,ai__mis,0.0829,0.1565,0.3204,0.3412,0.0809,0.0849,0.004
full,SWEET,ai,bio,ai__bio,0.0634,0.1126,0.2093,0.2305,0.0645,0.0623,0.0023
full,SynthID,med,security,med__security,0.0594,0.1091,0.2958,0.3126,0.059,0.0599,0.0009
nostop,Unigram,bio,mis,bio__mis,0.14,0.2649,0.1187,0.1591,0.1594,0.1207,0.0388
full,KGW,ai,mis,ai__mis,0.0878,0.1562,0.3317,0.3574,0.0885,0.087,0.0015
nostop,Unigram,bio,security,bio__security,0.1287,0.251,0.1214,0.1549,0.131,0.1265,0.0045
nostop,EXP,mis,security,mis__security,0.1269,0.2462,0.1287,0.1621,0.1142,0.1395,0.0254
full,Unigram,bio,security,bio__security,0.0853,0.158,0.2478,0.2703,0.0889,0.0818,0.0071
nostop,EXP,bio,med,bio__med,0.1452,0.2697,0.1325,0.1745,0.154,0.1365,0.0175
full,Unigram,ai,mis,ai__mis,0.0852,0.1577,0.2452,0.2703,0.0901,0.0803,0.0098
nostop,SWEET,ai,med,ai__med,0.1074,0.2095,0.0993,0.1264,0.1114,0.1035,0.0079
nostop,EXP,bio,mis,bio__mis,0.1423,0.2731,0.133,0.1719,0.1547,0.1299,0.0247
