setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
nostop,SynthID,ai,med,ai__med,0.0667,0.13,0.0743,0.0957,0.0671,0.0663,0.0007
nostop,SynthID,ai,security,ai__security,0.0615,0.1261,0.0738,0.093,0.0571,0.066,0.0089
nostop,KGW,bio,med,bio__med,0.061,0.1204,0.0714,0.0895,0.0697,0.0523,0.0174
nostop,SynthID,ai,bio,ai__bio,0.0482,0.0973,0.0628,0.0788,0.0461,0.0503,0.0042
nostop,KGW,ai,mis,ai__mis,0.0963,0.1902,0.0945,0.1251,0.0989,0.0938,0.0051
nostop,SWEET,med,mis,med__mis,0.0652,0.127,0.0758,0.0972,0.0605,0.0699,0.0094
nostop,SynthID,bio,security,bio__security,0.0729,0.1538,0.0864,0.1037,0.071,0.0749,0.0039
nostop,SWEET,ai,security,ai__security,0.0573,0.1163,0.0629,0.0791,0.0564,0.0583,0.0019
nostop,Unigram,bio,mis,bio__mis,0.0817,0.1699,0.0779,0.0954,0.0924,0.071,0.0214
nostop,Unigram,bio,security,bio__security,0.0767,0.1595,0.0793,0.0959,0.0695,0.0839,0.0144
nostop,EXP,mis,security,mis__security,0.0995,0.2004,0.1062,0.1309,0.086,0.113,0.027
nostop,EXP,bio,med,bio__med,0.0674,0.1353,0.0755,0.0925,0.0758,0.0591,0.0167
nostop,SWEET,ai,med,ai__med,0.0631,0.1251,0.0693,0.0898,0.0659,0.0604,0.0055
nostop,EXP,bio,mis,bio__mis,0.1,0.2051,0.108,0.1315,0.1101,0.09,0.02
nostop,EXP,med,security,med__security,0.0812,0.1602,0.0851,0.1093,0.077,0.0855,0.0085
nostop,EXP,ai,security,ai__security,0.0775,0.158,0.0845,0.1092,0.0742,0.0808,0.0066
nostop,SynthID,med,security,med__security,0.0751,0.1515,0.0839,0.1059,0.0705,0.0797,0.0092
nostop,KGW,mis,security,mis__security,0.0901,0.186,0.099,0.1199,0.0834,0.0969,0.0135
nostop,Unigram,med,mis,med__mis,0.0552,0.1198,0.056,0.0692,0.0572,0.0531,0.0041
nostop,Unigram,med,security,med__security,0.0753,0.1623,0.079,0.0964,0.0688,0.0819,0.0131
nostop,Unigram,mis,security,mis__security,0.0801,0.167,0.0773,0.0985,0.0631,0.0971,0.034
nostop,SynthID,mis,security,mis__security,0.0899,0.1819,0.1013,0.1251,0.0846,0.0952,0.0106
nostop,KGW,ai,med,ai__med,0.0703,0.1416,0.0789,0.1014,0.0706,0.0701,0.0005
nostop,KGW,ai,security,ai__security,0.0688,0.1429,0.0785,0.0973,0.0652,0.0724,0.0072
nostop,KGW,med,mis,med__mis,0.0677,0.1349,0.0791,0.097,0.0699,0.0655,0.0044
nostop,SWEET,bio,med,bio__med,0.0518,0.103,0.0594,0.0763,0.0538,0.0499,0.0039
nostop,KGW,bio,security,bio__security,0.0786,0.1595,0.0856,0.1076,0.0797,0.0775,0.0023
nostop,Unigram,ai,security,ai__security,0.0634,0.1362,0.0719,0.0856,0.0523,0.0745,0.0222
nostop,SWEET,ai,mis,ai__mis,0.0852,0.1699,0.0875,0.1122,0.0772,0.0933,0.0161
nostop,SynthID,bio,med,bio__med,0.0584,0.111,0.0685,0.0872,0.0611,0.0557,0.0054
nostop,SWEET,bio,mis,bio__mis,0.0877,0.1726,0.0867,0.1117,0.0793,0.096,0.0167
nostop,SWEET,bio,security,bio__security,0.0661,0.1354,0.0679,0.0858,0.066,0.0662,0.0002
nostop,KGW,med,security,med__security,0.079,0.1648,0.0892,0.1085,0.0733,0.0847,0.0114
nostop,Unigram,ai,med,ai__med,0.0778,0.1654,0.082,0.0969,0.0735,0.0822,0.0087
nostop,SWEET,mis,security,mis__security,0.0835,0.1682,0.0897,0.1093,0.0889,0.0781,0.0109
nostop,KGW,bio,mis,bio__mis,0.1018,0.2026,0.1029,0.1296,0.1054,0.0983,0.0071
nostop,KGW,ai,bio,ai__bio,0.0494,0.0984,0.0635,0.0817,0.0428,0.0561,0.0132
nostop,EXP,ai,bio,ai__bio,0.0641,0.1241,0.0725,0.0945,0.0619,0.0662,0.0043
nostop,Unigram,bio,med,bio__med,0.0554,0.1153,0.0589,0.0719,0.0619,0.049,0.013
nostop,SynthID,med,mis,med__mis,0.0648,0.1323,0.0802,0.0993,0.0689,0.0607,0.0082
nostop,EXP,med,mis,med__mis,0.0682,0.1406,0.0839,0.1003,0.0728,0.0637,0.009
nostop,SWEET,ai,bio,ai__bio,0.0438,0.0856,0.0499,0.0651,0.0441,0.0435,0.0006
nostop,Unigram,ai,bio,ai__bio,0.0494,0.1013,0.0558,0.0678,0.0422,0.0567,0.0146
nostop,EXP,bio,security,bio__security,0.088,0.1804,0.094,0.118,0.0845,0.0914,0.007
nostop,SynthID,ai,mis,ai__mis,0.0833,0.1705,0.0939,0.1167,0.0862,0.0805,0.0057
nostop,EXP,ai,med,ai__med,0.0802,0.1599,0.0838,0.1119,0.0835,0.0769,0.0066
nostop,SynthID,bio,mis,bio__mis,0.0893,0.181,0.0994,0.1254,0.0958,0.0828,0.013
nostop,SWEET,med,security,med__security,0.0663,0.1312,0.0728,0.0928,0.0645,0.068,0.0034
nostop,EXP,ai,mis,ai__mis,0.0989,0.204,0.1053,0.1331,0.109,0.0887,0.0204
nostop,Unigram,ai,mis,ai__mis,0.076,0.1632,0.0759,0.0894,0.0816,0.0704,0.0112
