setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
full,Unigram,ai,security,ai__security,0.0511,0.0984,0.2413,0.2551,0.0443,0.058,0.0137
full,EXP,bio,mis,bio__mis,0.0644,0.1269,0.3035,0.3194,0.0706,0.0583,0.0124
nostop,SynthID,ai,med,ai__med,0.0811,0.1511,0.0828,0.113,0.0877,0.0746,0.0131
nostop,SynthID,ai,security,ai__security,0.0707,0.1405,0.0776,0.099,0.0682,0.0733,0.0051
full,Unigram,bio,mis,bio__mis,0.0805,0.1502,0.2235,0.2464,0.0875,0.0736,0.0139
full,KGW,med,mis,med__mis,0.0486,0.0928,0.3194,0.3338,0.044,0.0532,0.0092
full,SynthID,ai,med,ai__med,0.0496,0.092,0.295,0.312,0.052,0.0472,0.0048
full,KGW,ai,med,ai__med,0.05,0.0899,0.3236,0.3407,0.0492,0.0509,0.0017
full,Unigram,med,mis,med__mis,0.0567,0.1111,0.209,0.2242,0.0574,0.056,0.0014
nostop,KGW,bio,med,bio__med,0.0974,0.1795,0.0936,0.1252,0.1027,0.0921,0.0106
nostop,SynthID,ai,bio,ai__bio,0.0706,0.1284,0.0707,0.0974,0.0728,0.0684,0.0044
full,EXP,bio,med,bio__med,0.053,0.0989,0.2897,0.3051,0.0558,0.0502,0.0056
full,KGW,med,security,med__security,0.0481,0.0912,0.325,0.3395,0.0426,0.0536,0.011
nostop,KGW,ai,mis,ai__mis,0.1176,0.2228,0.1111,0.1466,0.1073,0.1279,0.0207
nostop,SWEET,med,mis,med__mis,0.0865,0.165,0.088,0.1191,0.0795,0.0935,0.014
full,SynthID,mis,security,mis__security,0.0588,0.1113,0.3028,0.3179,0.0576,0.06,0.0024
full,SWEET,mis,security,mis__security,0.0663,0.1217,0.2377,0.2586,0.0682,0.0644,0.0037
nostop,SynthID,bio,security,bio__security,0.0849,0.1619,0.0887,0.1137,0.0805,0.0893,0.0088
nostop,SWEET,ai,security,ai__security,0.06,0.1184,0.0644,0.0808,0.0641,0.0559,0.0083
full,EXP,ai,mis,ai__mis,0.058,0.1212,0.3161,0.3269,0.06,0.0561,0.0039
full,SWEET,ai,bio,ai__bio,0.0453,0.0801,0.2021,0.2165,0.0458,0.0447,0.0011
full,SynthID,med,security,med__security,0.0454,0.0856,0.2935,0.3087,0.0424,0.0484,0.006
nostop,Unigram,bio,mis,bio__mis,0.1207,0.2312,0.1042,0.1389,0.1359,0.1055,0.0304
full,KGW,ai,mis,ai__mis,0.0636,0.1168,0.3281,0.3455,0.0575,0.0697,0.0122
nostop,Unigram,bio,security,bio__security,0.102,0.2057,0.1003,0.1254,0.0958,0.1083,0.0125
nostop,EXP,mis,security,mis__security,0.1035,0.197,0.1086,0.1386,0.087,0.1199,0.0329
full,Unigram,bio,security,bio__security,0.0651,0.1245,0.2376,0.2534,0.0608,0.0694,0.0086
nostop,EXP,bio,med,bio__med,0.092,0.1793,0.092,0.1145,0.1014,0.0827,0.0187
full,Unigram,ai,mis,ai__mis,0.0723,0.1358,0.2324,0.2532,0.0735,0.0712,0.0022
nostop,SWEET,ai,med,ai__med,0.0757,0.1481,0.0758,0.0982,0.0806,0.0708,0.0097
nostop,EXP,bio,mis,bio__mis,0.1125,0.2227,0.1157,0.1451,0.1277,0.0973,0.0304
nostop,EXP,med,security,med__security,0.094,0.1788,0.0942,0.1215,0.0797,0.1084,0.0287
full,SWEET,ai,med,ai__med,0.0542,0.102,0.2265,0.2415,0.0555,0.053,0.0025
